id,id_user,name,nutriscore,cal,fat,carbo,protein,date,meal
1,4,Pão com manteiga,a,281,6.9,38.7,9.6,2022-05-06,0
2,4,Massa com Atum,a,335,0.0,22.5,13.7,2022-05-06,1
3,4,Laranja,a,47,0.0,13.0,0.0,2022-05-06,1
4,4,Iogurte Natural,a,100,0.0,0.0,15.7,2022-05-06,3
5,4,Banana,a,90,0.0,0.0,7.6,2022-05-07,0
6,4,Meia rosca com manteiga,a,272,0.0,56.4,9.3,2022-05-07,0
7,4,Medialunas de parmigiano reggiano y trufa,d,396,4.6,9.9,3.6,2022-05-07,1
8,4,Banana,a,90,0.0,0.0,7.6,2022-05-07,3
9,4,Hacendado +proteína chocolate,a,97,1.5,0.0,10.0,2022-05-08,0
10,4,Meia rosca com manteiga,a,272,0.0,56.4,9.3,2022-05-08,1
11,4,Croissant Brioche,a,227,30.1,43.9,8.3,2022-05-08,2
12,4,Bolo de aniversario,e,575,13.0,6.9,2.5,2022-05-08,2
13,4,Meia rosca com manteiga,a,272,0.0,56.4,9.3,2022-05-09,0
14,4,Cozido à portuguesa,a,180,0.0,4.7,14.7,2022-05-09,1
15,4,Laranja,a,47,0.0,13.0,0.0,2022-05-09,1
16,4,Bolacha Maria,a,90,0.0,0.0,0.0,2022-05-09,3
17,4,Bolacha Maria,a,45,0.0,0.0,0.0,2022-05-09,3
18,4,Pão com manteiga,a,281,6.9,38.7,9.6,2022-05-09,3
19,4,Meia rosca com manteiga,a,272,0.0,56.4,9.3,2022-05-10,0
20,4,RedFish no forno,a,136,6.4,1.0,13.0,2022-05-10,1
21,4,Laranja,a,47,0.0,13.0,0.0,2022-05-10,1
22,4,Croissant Brioche,a,227,30.1,43.9,8.3,2022-05-10,3
23,4,Sopa de lentilhas,a,139,0.0,0.0,3.2,2022-05-10,2
24,4,Bolacha Maria,a,270,0.0,0.0,0.0,2022-05-10,3
25,4,Meia rosca com manteiga,a,272,0.0,56.4,9.3,2022-05-11,0
26,4,Massa com Atum,a,335,0.0,22.5,13.7,2022-05-11,1
27,4,Laranja,a,47,0.0,13.0,0.0,2022-05-11,1
28,4,Meia rosca com manteiga,a,272,0.0,56.4,9.3,2022-05-12,0
29,4,Iogurte Natural,a,100,0.0,0.0,15.7,2022-05-12,1
30,4,Banana,a,90,0.0,0.0,7.6,2022-05-12,0
31,4,Banana,a,90,0.0,0.0,7.6,2022-05-12,1
32,4,RedFish no forno,a,136,6.4,1.0,13.0,2022-05-12,1
33,4,Frigideira,a,202,0.0,34.3,6.1,2022-05-12,2
34,4,Iogurte Natural,a,100,0.0,0.0,15.7,2022-05-12,3
35,4,Banana,a,90,0.0,0.0,7.6,2022-05-12,3
36,4,Pão com manteiga,a,562,13.8,77.4,19.2,2022-05-14,0
37,4,Pão com manteiga,a,562,13.8,77.4,19.2,2022-05-14,0
38,4,Iogurte Natural,a,100,0.0,0.0,15.7,2022-05-14,0
39,4,Pan de molde integral,a,116,1.5,19.5,4.6,2022-05-14,3
40,4,O Merceeiro Soja,a,224,18.0,0.6,15.0,2022-05-14,3
